setup,dir,n,win1,edge1,ret1,t1,win3,edge3,ret3,t3,win6,edge6,ret6,t6,win12,edge12,ret12,t12,score
hanging_man,short,3092,50.5,0.0011,-0.0,-0.0,49.4,0.0089,0.0055,0.49,50.1,0.029,0.0222,1.55,49.7,0.0268,0.0133,0.66,0.8078960158163921
piercing,long,951,51.7,0.0052,0.0063,0.86,49.6,0.0195,0.0229,1.56,50.8,0.0302,0.037,1.45,52.1,0.0232,0.0367,1.21,0.47310867749657687
bullish_engulfing,long,5023,49.7,-0.0008,0.0003,0.08,49.2,-0.0004,0.003,0.46,49.2,0.007,0.0138,1.29,50.0,-0.0016,0.0119,0.77,0.24408704621097785
inverted_hammer,long,2841,50.6,0.0029,0.004,0.83,50.8,0.0108,0.0142,1.77,51.5,0.0057,0.0125,1.15,51.6,0.0109,0.0244,1.37,0.15646517909825816
double_bottom,long,5448,49.3,-0.0004,0.0007,0.16,48.9,-0.0056,-0.0022,-0.29,49.6,0.0053,0.012,1.08,50.1,-0.0185,-0.005,-0.34,0.19403322207580845
bullish_harami,long,3848,49.9,0.0114,0.0126,2.01,51.5,0.013,0.0164,1.85,50.2,0.0037,0.0105,0.88,50.5,-0.018,-0.0045,-0.27,0.1152187005502145
tweezer_bottom,long,24500,49.4,-0.0011,0.0001,0.04,49.7,-0.0039,-0.0005,-0.18,50.1,-0.003,0.0038,0.87,50.5,-0.0043,0.0092,1.44,0.0
bearish_harami,short,3945,50.8,0.0022,0.001,0.14,48.7,-0.0017,-0.0051,-0.57,50.2,0.0127,0.0059,0.51,50.1,0.0307,0.0171,1.07,0.4004339967537721
three_white_soldiers,long,465,49.5,0.0051,0.0062,0.64,49.9,-0.0022,0.0012,0.07,52.0,0.008,0.0148,0.47,50.3,-0.0008,0.0127,0.31,0.08970565199584696
dark_cloud_cover,short,922,49.3,0.0014,0.0003,0.04,51.0,0.0067,0.0033,0.25,50.2,0.0157,0.0089,0.44,50.4,0.017,0.0035,0.12,0.23931439909692018
hammer,long,3016,49.3,0.0031,0.0043,0.54,49.8,0.0005,0.0039,0.36,51.3,-0.0015,0.0053,0.39,50.4,-0.0075,0.006,0.31,0.0
three_black_crows,short,446,45.5,-0.0123,-0.0134,-1.13,49.1,0.0061,0.0027,0.12,50.0,0.0154,0.0086,0.32,45.5,0.0098,-0.0037,-0.09,0.16261408303096014
marubozu,long,9302,48.7,-0.0048,-0.0036,-1.55,48.5,-0.0128,-0.0094,-2.22,49.3,-0.0055,0.0012,0.21,50.3,-0.0136,-0.0001,-0.01,0.0
shooting_star,short,3003,49.3,0.0018,0.0007,0.09,50.1,0.0109,0.0075,0.59,50.0,0.0062,-0.0006,-0.04,48.7,0.0232,0.0096,0.42,0.16987886860937118
morning_star,long,1001,46.0,-0.0145,-0.0133,-1.57,46.7,-0.0238,-0.0204,-1.51,49.0,-0.0083,-0.0015,-0.08,49.8,-0.013,0.0005,0.02,0.0
tweezer_top,short,25429,48.5,-0.0015,-0.0026,-1.14,48.8,-0.0001,-0.0035,-0.98,49.5,0.0058,-0.001,-0.2,49.5,0.0062,-0.0073,-1.04,0.457823238804017
bearish_engulfing,short,5097,48.6,0.0034,0.0022,0.63,49.0,0.0053,0.0019,0.3,49.2,0.0031,-0.0036,-0.37,49.5,0.0052,-0.0084,-0.57,0.10888902607186825
evening_star,short,1017,48.3,-0.009,-0.0101,-1.42,48.3,-0.0058,-0.0092,-0.74,50.8,-0.0016,-0.0084,-0.44,50.8,0.0023,-0.0112,-0.4,0.0
double_top,short,5244,49.2,0.0063,0.0052,1.08,50.1,-0.0008,-0.0042,-0.47,49.2,-0.0026,-0.0094,-0.84,48.7,-0.0122,-0.0257,-1.8,0.0
marubozu,short,8735,47.1,-0.0043,-0.0055,-2.53,48.0,-0.0091,-0.0125,-2.88,47.9,-0.013,-0.0198,-3.2,47.4,-0.024,-0.0376,-4.28,0.0
