setup,dir,stocks,works_in/_10,mean_win,mean_edge,mean_t,mean_n
inverted_hammer,long,10,7,61.9,0.461,1.69,60.0
hs_bottom,long,5,5,64.3,0.648,1.81,30.0
hammer,long,10,5,58.7,0.13,1.17,73.0
bullish_harami,long,10,5,59.7,0.128,1.81,118.0
bull_flag,long,10,4,59.4,0.151,1.14,46.0
double_bottom,long,10,4,56.6,0.058,1.35,111.0
bullish_engulfing,long,10,4,56.9,-0.092,1.22,133.0
tweezer_bottom,long,10,4,54.6,-0.156,1.17,154.0
marubozu,long,10,2,53.6,-0.403,0.31,74.0
hs_top,short,5,1,55.5,0.872,0.61,27.0
tweezer_top,short,10,1,45.9,0.271,-1.64,299.0
morning_star,long,10,1,53.4,-0.291,0.36,37.0
hanging_man,short,10,0,44.8,0.237,-0.74,110.0
bearish_harami,short,10,0,45.0,0.205,-0.96,154.0
evening_star,short,9,0,47.1,0.055,-0.71,41.0
double_top,short,10,0,44.2,-0.029,-1.25,93.0
shooting_star,short,10,0,44.3,-0.045,-1.4,91.0
dark_cloud_cover,short,10,0,43.4,-0.156,-0.85,33.0
bearish_engulfing,short,10,0,42.7,-0.371,-2.5,149.0
marubozu,short,10,0,40.7,-0.691,-1.85,52.0
