feature,mean_ic,pos_stocks,neg_stocks,stocks,agree
williams_r,-0.0338,2,8,10,8
stoch_k,-0.0338,2,8,10,8
ema9_slope,-0.0335,2,8,10,8
dist_ema9,-0.0334,2,8,10,8
dist_ema200,-0.0326,1,9,10,9
dist_ema20,-0.0321,2,8,10,8
mfi,-0.032,3,7,10,7
rsi,-0.0317,2,8,10,8
dist_ema50,-0.0312,2,8,10,8
dist_hi_20,-0.0295,2,8,10,8
bb_pct,-0.0294,2,8,10,8
roc_10,-0.0281,2,8,10,8
consec_dir,-0.0247,1,9,10,9
candle_ret,-0.0246,1,9,10,9
cc_ret,-0.0221,2,8,10,8
above_ema200,-0.0215,2,8,10,8
body_dir,-0.0197,1,9,10,9
rsi_slope,-0.0197,2,8,10,8
lower_wick,-0.0172,1,9,10,9
macd_hist,-0.0169,4,6,10,6
ema_stack_bull,-0.0168,4,6,10,6
dist_lo_20,-0.0166,4,6,10,6
vol_climax,-0.0128,4,6,10,6
bb_break_up,-0.0014,4,6,10,6
rsi_overbought,0.0006,4,6,10,6
gap_pct,0.0014,5,5,10,5
bb_squeeze,0.003,6,4,10,6
macd_bull_cross,0.0051,7,3,10,7
vol_z,0.0052,5,5,10,5
vol_ratio,0.0071,7,3,10,7
macd_bear_cross,0.0074,7,3,10,7
body_pct,0.0097,8,2,10,8
bb_width,0.0186,7,3,10,7
upper_wick,0.0197,9,1,10,9
range_pct,0.0236,9,1,10,9
bb_break_dn,0.0258,10,0,10,10
ema_stack_bear,0.0279,8,2,10,8
atr_pct,0.0335,9,1,10,9
rsi_oversold,0.044,10,0,10,10
