pattern,dir,n,win_1,edge_1,ret_1,big_1,win_6,edge_6,ret_6,big_6,win_12,edge_12,ret_12,big_12,win_24,edge_24,ret_24,big_24
Evening star,bearish,57259,0.4979129918440769,0.015172833574616799,-0.0005436497299041687,0.22024485233762378,0.5097888541539322,0.0356401062093888,-0.0013693199589153286,0.5517036623063624,0.5182067447912119,0.06141179542307985,-0.0006789974999527494,0.663720987093732,0.5377145950854887,0.11456022796210785,-0.0013392499301320417,0.7523882708395186
Tweezer top,bearish,401156,0.5059328540517903,0.01546053419596815,-0.00025594910855281734,0.15297540109084745,0.5060998713717357,0.03531221746642387,-0.001697208701880258,0.467112544745685,0.5128154633110311,0.05819368642581743,-0.0038971064972151636,0.5936468605729442,0.5260247883616349,0.11280779363228174,-0.003091684259958155,0.6919303213712371
Bearish engulfing,bearish,136823,0.5107693881876585,0.015542383755437402,-0.00017409954908356582,0.22943510959414717,0.5132104982349459,0.035262218052585476,-0.0017472081157186572,0.5464359062438333,0.5201026143265386,0.05807545060993439,-0.004015342313098206,0.6544586801926576,0.5324324126791549,0.11080589029591906,-0.00509358759632083,0.7419074278447337
Three black crows,bearish,41686,0.5130739336947656,0.01529228701808639,-0.0004241962864345777,0.26428537158758336,0.5184474403876601,0.033653204319027095,-0.0033562218492770393,0.5740536391114522,0.5249004461929665,0.05626428462946572,-0.005826508293566874,0.6726958691167298,0.5371347694669673,0.10882132438689243,-0.007078153505347462,0.7560811783332534
Morning star,bullish,59840,0.46281751336898397,-0.015760692899893524,-4.420959537255842e-05,0.27847593582887703,0.47294451871657756,-0.035917101985260116,0.0010923241830440176,0.5945187165775401,0.4642045454545455,-0.060816224132819216,0.0012745687902133806,0.6995822192513369,0.45143716577540105,-0.11433118461530753,0.0015682932769323626,0.7716410427807486
Tweezer bottom,bullish,370162,0.4798736769306412,-0.015590424183264423,0.00012605912125654412,0.17986179024319082,0.48720019883186283,-0.03609803241157208,0.0009113937567320567,0.49694998406103275,0.4765372998849153,-0.06118741981890778,0.0009033731041248146,0.6166489266861537,0.4744760402202279,-0.11231716966947607,0.0035823082227638284,0.7131607242234481
Bullish engulfing,bullish,121468,0.4568446010471894,-0.01680275518929207,-0.0010862718847711027,0.2681282313037179,0.46925939342048933,-0.03745096651516263,-0.00044154034685849416,0.5740441927091909,0.4620229196166892,-0.0626459250802492,-0.0005551321572166017,0.683999077946455,0.4615948233279547,-0.11216929504086975,0.003730182851370143,0.7663664504231568
Three white soldiers,bullish,30301,0.4579716841028349,-0.017379756540908762,-0.0016632732363877948,0.2532589683508795,0.45688261113494605,-0.03939866632969561,-0.0023892401613914748,0.5594204811722385,0.45048018217220553,-0.06392763874978535,-0.0018368458267527608,0.6701098973631233,0.4330880168971321,-0.12116848194032306,-0.005269004048083166,0.7464110095376391
Inside bar,neutral,846666,,,0.0007862077064381333,0.24527972069269346,,,0.0025189184814366637,0.5535464988555109,,,0.004542271799573535,0.6603087876447147,,,0.012958514560480465,0.7388875896752675
Harami,neutral,705461,,,0.0009237885879571332,0.2332262166158016,,,0.002340807377905737,0.5504868447724254,,,0.003723718824676221,0.6614128917119444,,,0.006583702951863161,0.7429921710767853
Doji,neutral,379885,,,0.1694235995776999,0.22889295444674046,,,0.12530601797848662,0.5276517893573055,,,0.20777825385348853,0.6329784013583059,,,0.4746899482244112,0.711633783908288
Long-legged doji,neutral,25209,,,0.05168746593532563,0.28414455154904994,,,0.13189829621401583,0.49399024158038796,,,1.4193499352103687,0.5811416557578643,,,2.0210197266657817,0.6421516125193383
Spinning top,neutral,369517,,,9.902786011947103e-05,0.23770218961509212,,,0.0013630803204406304,0.5575629808642092,,,0.09455467901291811,0.6658151045824685,,,0.1311316594034838,0.7484121163572989
Marubozu,neutral,292711,,,0.00880699590902511,0.2206920819511395,,,0.3651495075870234,0.4635801182736556,,,0.33599739092318864,0.559049711148539,,,0.68137619487864,0.6362794701941505
Outside bar,neutral,632254,,,0.0010178602375922568,0.2477627662300278,,,0.00313165391610253,0.5434841060712942,,,0.032688629177489416,0.6501105568331714,,,0.032324357488751725,0.7314085794633169
