year,bear_high_vol,bear_low_vol,bull_high_vol,bull_low_vol,range_high_vol,range_low_vol
2011,0.0,0.0,0.0,0.0,61.96,38.04
2012,0.3,0.92,7.66,38.92,10.22,41.98
2013,0.0,0.0,11.0,79.45,1.19,8.36
2014,0.39,1.59,9.26,71.71,2.47,14.58
2015,7.55,8.77,8.6,47.73,4.05,23.29
2016,6.68,8.4,10.42,51.08,3.91,19.5
2017,0.0,0.0,7.34,86.68,0.48,5.5
2018,8.75,7.58,7.91,49.83,9.16,16.77
2019,3.41,1.56,11.7,60.24,7.69,15.4
2020,14.13,0.39,28.19,40.29,11.74,5.27
2021,0.0,0.0,24.27,67.76,1.85,6.12
2022,33.64,23.36,5.34,6.18,14.61,16.86
2023,1.66,3.93,17.92,51.7,5.36,19.43
2024,0.0,0.0,19.95,67.75,3.36,8.94
2025,1.25,0.67,12.66,14.07,44.13,27.22
2026,6.02,3.84,43.57,27.78,12.03,6.75
